id,name,carbs,fiber,protein,fat,source_type
6,Egg,0,0,12,9,pt
7,Milk,4,0,3,3,pt
8,Salmon,0,0,19,12,pt
9,Beef,0,0,24,12,pt
10,Chicken,0,0,30,1,pt
11,MyProtein,0,0,80,0,pt
12,Beans,17,7,6,0,pt
13,Turkey,4,0,17,2,pt
14,Tofu,2,0,8,5,pt
15,White Rice,27,0,3,0,ct
16,Brown Rice,23,3,3,1,ct
17,Bread,51,2,8,3,ct
18,Cookie,69,1,5,21,ct
19,Chocolate,60,6,4,34,ct
20,Broccoli,7,3,3,0,ct
21,Cereal,83,5,7,3,ct
22,Strawberry,8,2,0,0,ct
23,Celery,3,2,0,0,ct
24,Latte,10,0,2,2,ct
25,Potato,16,2,2,0,ct
26,Sweet Pota,20,3,3,0,ct
27,Asparagus,4,2,2,0,ct
28,Olive Oil,0,0,0,100,ft
29,Butter,0,0,1,81,ft
30,Cheese,5,0,22,27,ft
31,Avocado,9,6,2,15,ft
32,Almonds,20,12,21,51,ft
33,Peanut,15,10,28,53,ft
34,Coconut,12,7,3,27,ft
35,Yogurt,8,0,2,10,pt
